code,name,city,country
CAI,Cairo International Airport,Cairo,Egypt
DXB,Dubai International Airport,Dubai,UAE
LHR,London Heathrow Airport,London,United Kingdom
JFK,John F. Kennedy International Airport,New York,USA
CDG,Charles de Gaulle Airport,Paris,France
FRA,Frankfurt Airport,Frankfurt,Germany
SIN,Singapore Changi Airport,Singapore,Singapore
HKG,Hong Kong International Airport,Hong Kong,China
NRT,Narita International Airport,Tokyo,Japan
SYD,Sydney Kingsford Smith Airport,Sydney,Australia
AMS,Amsterdam Schiphol Airport,Amsterdam,Netherlands
MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain
FCO,Leonardo da Vinci International Airport,Rome,Italy
IST,Istanbul Airport,Istanbul,Turkey
BKK,Suvarnabhumi Airport,Bangkok,Thailand
KUL,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia
MUC,Munich Airport,Munich,Germany
ZRH,Zurich Airport,Zurich,Switzerland
CPH,Copenhagen Airport,Copenhagen,Denmark
ARN,Stockholm Arlanda Airport,Stockholm,Sweden
HEL,Helsinki Airport,Helsinki,Finland
VIE,Vienna International Airport,Vienna,Austria
BRU,Brussels Airport,Brussels,Belgium
LIS,Humberto Delgado Airport,Lisbon,Portugal
ATH,Athens International Airport,Athens,Greece
